"30.01.2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Марка котла/Марка горелки","Год оборудования","Время","Котлы","","","Сетевые насосы","","","Подпиточные насосы","","","Топливные ёмкости","","","","","","","Ёмкости вода","","","","","t c ̊ воды","","","t c ̊ воды по температурному графику","","Давление на подаче кгс/см2","Давление на обратке кгс/см2","Расход подпиточной воды за сутки, куб","Дежурные котельной","","Примечания",""
"","","","","Работа №","Резерв №","Ремонт №","Работа №","Резерв №","Ремонт №","Работа №","Резерв №","Ремонт №","всего","объем м³","в работе","в резерве"," Остаток топлива на утро, м³","Расход топлива за сутки, м³","в ремонте","всего","объем м³","в работе","в резерве","в ремонте","наружная (улица)","подача","обратка","подача","обратка","","","","ночь","день","",""
"","Котельная №1","Белоярск №1 ул. Набережная 8                                 
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83499323373 , сот. 89028575790, Начальниу участка ЦТС Климов И.В.89519857336"
"1","КСВ-3,0/PG93 ""UNIGAS"" №0805505","2007","00.00","1.3","2","","1,2,4","","3","1","2","","2","25","1.2","","16008","6031","","1","50","1"," ","","-34","86","64","86","64.5","5.5","3.8","0","Витязев, Кожевников","Канев Нагибин","",""
"","","","03.00","1.3","2","","1,2,4","","","1","2","","","","","","","","","","","","","","-36","88","67","88","65.8","5.5","3.8","","","","",""
"","","","06.00","1.3","2","","1,2,4","","","1","2","","","","","","","","","","","","","","-37","89","66","89","66.4","5.5","3.8","","","","",""
"2","""КИМАП-ИПАК"" -3,5/""WEUSHAUPT""","2016","09.00","1.3","2","","1,2,4","","","1","2","","","","","","","","","","","","","","-36","88","65","88","65.8","5.5","3.8","","","","",""
"","","","12:00","1.3","2","","1,2,4","","","1","2","","","","","","","","","","","","","","-36","88","65","88","65.8","5.5","3.8","","","","",""
"3","КВА 3,2/PG93""UNIGAS""№06140440","2010","15:00","1.3","2","","1,2,4","","","1","2","","","","","","","","","","","","","","-36","88","65","88","65.8","5.5","3.8","","","","",""
"","","","18:00","1.3","2","","1,2,4","","","1","2","","","","","","","","","","","","","","","","","","","5.5","3.8","","","","",""
"","","","21:00","1.3","2","","1,2,4","","","1","2","","","","","","","","","","","","","","","","","","","5.5","3.8","","","","",""
"","Котельная №2","Белоярск №2 ул. Юбилейная 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83499323387 , сот. 89028575687,"
"1","KBA-3,2/PG93""UNIGAS""№1009117","2010","00.00","2,3,4","1","","2,3,4","1","","2","1","","2","25","1.2","","17589","12023","-","1","50","1","","","-35","87","65","87","65.2","5.5","4.5","10","Витязев, Лаптандер","Терентеев Подронхасов","",""
"","","","03.00","2,3,4","1","","2,3,4","1","","2","1","","","","","","","","","","","","","","-36","88","66","88","65.8","5.5","4.5","","","","",""
"2","KBA-3,0/PG510""UNIGAS""","2007","06.00","2,3,4","1","","2,3,4","1","","2","1","","","","","","","","","","","","","","-35","87","66","87","65.2","3.8","4.5","","","","","выкл 4"
"","","","09.00","2,3,4","1","","2,3,4","1","","2","1","","","","","","","","","","","","","","-37","89","67","89","66.4","5.5","4.5","","","","",""
"3","KCBA-3,0/PG510""UNIGAS""","2004","12:00","2,3,4","1","","2,3,4","1","","2","1","","","","","","","","","","","","","","-34","86","65","86","64.5","5.5","4.5","","","","",""
"","","","15:00","2,3,4","1","","2,3,4","1","","2","1","","","","","","","","","","","","","","-34","86","65","86","64.5","5.5","4.5","","","","",""
"4","KCBA-3,0/PG510""UNIGAS""","2005","18:00","2,3,4","1","","2,3,4","1","","2","1","","","","","","","","","","","","","","","","","","","5.5","4.5","","","","",""
"","","","21:00","2,3,4","1","","2,3,4","1","","2","1","","","","","","","","","","","","","","","","","","","5.5","4.5","","","","",""
"","Котельная №3","Щучье №3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Thermax Revoterm -2,68 Гкал","","00.00","1","2","","4","1,2,3,5","","3","1,2,4","","1","1.2","1","1","-","2130","0,2","4","4/100","","1/1000","","-42","95","70","94","69.4","4.2","3","0.1","Варцапов","Худи","",""
